Company,Website,Category,Subcategory,Description,AI_Depth,Notable_Info
Martini (C47),martini.film,B2B,Generative AI,Collaborative AI-native filmmaking for professionals,Wrapper,
Condor Energy,,Industrials,Energy,Energy OS enabling reliable cheap and sustainable electricity supply,Wrapper,
Resonate,,B2B,Messaging,The first AI-native messaging platform,Wrapper,
Zymbly,,B2B,Aviation,Automates admin for aircraft technicians,Wrapper,
Pollinate,,B2B,Supply Chain,AI Agents for the supply chain,Wrapper,
MochaCare,,Healthcare,Home Care,AI-powered scheduling and hiring service for home care agencies,Wrapper,
Cardinal,,B2B,Sales,AI Platform for Precision Outbound,Applied AI,40+ YC companies as paying customers; founders are 2x YC alumni (S23 and W26)
Wideframe,,B2B,Video,AI agent for video work outside the NLE,Applied AI,
Shofo,,B2B,Data,Common Crawl for Video,Applied AI,
Wayco,,B2B,Legal,AI operator for legal case referrals,Applied AI,
Polymorph,,B2B,Analytics,AI that catches intent & churn live then acts faster than a human can,Applied AI,
Vela,,B2B,Productivity,The AI Scheduling Assistant that truly knows you,Applied AI,Most unique - 0 near-competitors
VOYGR,,B2B,Infrastructure,Real-world place intelligence for AI apps and agents,AI Infrastructure,
Canary,,B2B,Developer Tools,The first AI QA engineer that understands your codebase,AI Infrastructure,
Maven,,Fintech,Payments,Payments for Voice AI Agents,AI Infrastructure,
Corelayer,,B2B,Developer Tools,AI on-call engineer that debugs using data,AI Infrastructure,
Emdash,,B2B,Developer Tools,Open-source Agentic Development Environment,AI Infrastructure,18 near-competitors - highly crowded
Chamber,,B2B,Infrastructure,Autopiloting your AI infrastructure,AI Infrastructure,
Aurorin CAD,,B2B,Hardware,We help hardware companies ship faster,Deep Tech,Most unique - 0 near-competitors
DAIVIN!,,Industrials,Hardware,Tankless Dive Gear - Breath Autonomy at Sea Land & Space,Deep Tech,
GrazeMate,,Industrials,Agriculture,Robot Cowboys that Herd Cattle with AI Drones,Deep Tech,
Origami Robotics,,Industrials,Robotics,Manipulate Anything Robot,Deep Tech,
Librar Labs,,B2B,Infrastructure,The next generation of the intelligence layer for the physical world,Deep Tech,
Ritivel,,B2B,Regulatory,AI-native platform for regulatory document submission,Deep Tech,
Fort,fort.cx,Consumer,Wearables,Strength Tracking Wearable,Non-AI,Ex-Tesla Cybertruck engineers; most unique - 0 near-competitors
Pocket,,Consumer,Hardware,Hardware consumer device,$27M ARR,Non-AI,$27M ARR at seed stage; shipped 30000+ units in 5 months; 50% MoM growth
